ec5_uuid,created_at,uploaded_at,title,X1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,X4_Hexagon_,X5_Plot_,X6_Elevation_m,X7_Slope___or_,X8_Aspect,X9_Slope_Position,X10_Surface_Shape,X11_Slope_Length,X12_Slope_Uniformity,X13_Slope_Continuity,X14_Photo__North,X15_Photo__East,X16_Photo__South,X17_Photo__West,X18_Photo__VegGround,X19_Photo__Overhead,X20_Additional_Commen,X22_Hexagon_,X23_Plot_,X24_Species,X25_If_other_fill_in,X26_Is_it_a_snag,X27_DBH_cm__tenth_dec,X28_Age_Taken,X29_If_age_is_taken_r,X30_For_tress_that_ar,X31_Tree_Class,X32_Live_crown_class,X33_Conk,X34_Blind_Conk,X35_Fork_Crook,X36_Scar,X37_Frost_Damage,X38_Mistletoe,X39_Rotten_Bark,X40_Dead_or_broken_to,X41_Insect_Damage,X42_Fire_Damage,X43_Down_Tree,X44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,X47_Hexagon_,X48_Plot_,X49_399m_Plot,X51_Hexagon_,X52_Plot_,X53_Sub_Plot_,X54_Sapling_or_Regene,X55_Species,X56_If_other_fill_in,X57_Regeneration_Heig,X58_Tree_count_indivi,X59_Avg_DBH_Sapling_o,X60_Avg_Height_Saplin,X61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,X64_Hexagon_,X65_Plot_,X66_Transect_,X67_Azimuth,X69_Hexagon_,X70_Plot_,X71_Transect_,X72_Position_along_tr,X73_Type_of_CWD,X74_If_other_and_it_i,X75_Species,X76_Decay_class,X77_DBH_at_transect_c,X78_Length_cm,X79_DBH_Left_cm__tent,X80_Distance_off_grou,X81_DBH_Right_cm__ten,X82_Distance_off_grou,X83_Tag_Id,X84_Additional_Commen
7922d57c-03fa-4301-8055-329efa56a9ff,2021-07-29T21:58:34.771Z,2021-07-30T23:06:03.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Sx: spruce hybrid,,Standing (Live),32.7,Yes,H15P2SIT2,23,8: Younger immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
5ed29040-915c-46c3-aa1d-444e2d91381e,2021-07-29T21:56:48.302Z,2021-07-30T23:06:01.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Standing (Live),22.3,Yes,H15P2SIT4,22.5,8: Younger immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
6cc98c39-663e-4453-a884-129d61c4bca0,2021-07-29T21:53:44.047Z,2021-07-30T23:05:59.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Ep: paper birch,,Standing (Live),16,,,NA,1: Older Immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
968ebcba-c849-4901-8f4c-ed03e024b06a,2021-07-29T21:52:13.246Z,2021-07-30T23:05:57.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Standing (Live),10.7,,,NA,8: Younger immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
e31fcf88-08df-4bf6-9d8f-b8f641e0469c,2021-07-29T21:50:59.218Z,2021-07-30T23:05:55.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Standing (Live),14.8,,,NA,8: Younger immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
286e59aa-e08c-4522-873e-473017885188,2021-07-29T21:49:14.718Z,2021-07-30T23:05:53.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Sx: spruce hybrid,,Standing (Live),15.2,,,NA,8: Younger immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
317f3e6e-d7b9-4227-b2bd-b1ad02e27e12,2021-07-29T21:47:54.747Z,2021-07-30T23:05:51.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Sx: spruce hybrid,,Standing (Live),58.3,,,NA,5: Mature,4 (75-100% healthy),,,,4: Bottom and middle,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
1c3048ae-2e58-489d-b54c-3c010effa242,2021-07-29T21:45:01.316Z,2021-07-30T23:05:49.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Ep: paper birch,,Standing (Live),11.1,,,NA,2: Older immature - Suspect,4 (75-100% healthy),,,1: Bottom 1/3 only,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
d62c7a9b-4da1-49f6-8ab6-0be0511a6d80,2021-07-29T21:42:50.491Z,2021-07-30T23:05:47.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Snag (Dead) (45-90%) ,17.5,,,NA,9: Younger immature - Dead potential,1 (0-25% healthy),,,2: Middle 1/3 only,1: Bottom 1/3 only,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
ac6f39f8-d206-4205-bcba-2d8115f34a47,2021-07-29T21:41:34.683Z,2021-07-30T23:05:45.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Standing (Live),20.9,,,NA,8: Younger immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
