"","plot.id","Hexagon","Plot","Species1","Height","DBH","SPHt","BAt","BA.ha"
"220","H3P1","3","1","Bl",NA,12.4,25,0.0120762821603992,0.301907054009979
"221","H3P1","3","1","Bl",NA,10.2,25,0.00817128249198705,0.204282062299676
"222","H3P1","3","1","Sx",NA,21.9,25,0.037668481314705,0.941712032867625
"223","H3P1","3","1","Sx",NA,27.5,25,0.059395736106932,1.4848934026733
"224","H3P1","3","1","Bl",NA,10.8,25,0.00916088417786784,0.229022104446696
"225","H3P1","3","1","Bl",NA,11.3,25,0.010028749148422,0.25071872871055
"226","H3P1","3","1","Bl",NA,19.9,25,0.0311025526687023,0.777563816717559
"227","H3P1","3","1","Ep",NA,18.7,25,0.0274645883758454,0.686614709396134
"228","H3P1","3","1","Sx",NA,12.5,25,0.0122718463030851,0.306796157577128
"229","H3P1","3","1","Bl",NA,8.8,25,0.00608212337734984,0.152053084433746
"230","H3P1","3","1","Bl",NA,14,25,0.01539380400259,0.38484510006475
"231","H3P1","3","1","Bl",NA,16,25,0.0201061929829747,0.502654824574367
"232","H3P1","3","1","Bl",NA,13,25,0.0132732289614169,0.331830724035422
"233","H3P1","3","1","Bl",NA,20.7,25,0.0336535259034173,0.841338147585432
"234","H3P1","3","1","Bl",NA,13.8,25,0.014957122623741,0.373928065593525
"235","H3P1","3","1","Bl",NA,18.4,25,0.026590440219984,0.6647610054996
"236","H3P1","3","1","Bl",NA,8.2,25,0.00528101725068444,0.132025431267111
"237","H3P1","3","1","Bl",NA,12.5,25,0.0122718463030851,0.306796157577128
"238","H3P1","3","1","Bl",NA,20.5,25,0.0330063578167778,0.825158945419444
"239","H3P1","3","1","Bl",25.6,38,25,0.113411494794592,2.83528736986479
"240","H3P1","3","1","Sx",21,29.8,25,0.069746498502347,1.74366246255867
"241","H3P1","3","1","Bl",22.1,23.3,25,0.0426384808926841,1.0659620223171
"242","H3P1","3","1","Sx",25.6,29.2,25,0.06696618900392,1.674154725098
