"","ec5_uuid","created_at","Test","Hexagon","Plot","Species","Other_spp","Live_status","DBH","X28_Age_Taken","Code","Height.x","Cruise_tree_class","Crown_class","Conk","Blind_conk","Fork_crook","Scar","Frost_damage","Mistletoe","Rotten_bark","Dead_broken_top","Insect_damage","Fire_damage","Down_tree","Comments","Species1.x","Plot.id","Date","Species1.y","Distance","Bearing","Height.y","Age.ca","Technique","Additional.Comments"
"548","6e326192-6ffe-4151-9ec8-8b83163e9621","2021-05-27T21:15:56.956Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",19.2,NA,NA,NA,"8: Younger immature","4 (75-100% healthy)",NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Branching at base of bole.","Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"549","b299d4e0-c9bb-4dd6-be9f-1e1dac1f67ee","2021-05-27T21:13:53.452Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",10.5,NA,NA,NA,"8: Younger immature","2 (25-50% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"550","677b1519-4c16-4601-97d5-69fabeaf6b12","2021-05-27T21:13:26.979Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",15.4,NA,NA,NA,"8: Younger immature","1 (0-25% healthy)",NA,NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"551","85d5b4d4-b5be-419b-bfe2-d5a59dc0a79c","2021-05-27T21:13:08.097Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",16.4,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"552","52db274f-d3ff-4451-a43c-323b921a8c97","2021-05-27T21:12:12.442Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",18.8,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thick branching in lower crown and the lower bowl","Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"553","a93ad6ac-671d-43e6-b6af-dcd079eb4133","2021-05-27T21:12:08.747Z","No, 11.28m Plot - Core Tree collection","3","1","Sx: spruce hybrid",NA,"Standing (Live)",12.5,NA,NA,NA,"8: Younger immature","2 (25-50% healthy)",NA,NA,"3: Top 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sx","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"554","befc018f-15e8-4cc8-bf49-2b38556d8c03","2021-05-27T21:10:25.974Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",29.5,NA,NA,NA,"1: Older Immature","4 (75-100% healthy)",NA,NA,NA,"4: Bottom and middle",NA,NA,NA,NA,NA,NA,NA,"Thick branching in lower crown and throughout lower bowl","Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"555","19acdf67-d77d-4e37-9a57-fe2973e6b2d1","2021-05-27T21:10:15.852Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",9.5,NA,NA,NA,"8: Younger immature","1 (0-25% healthy)",NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"556","041ce332-5f3d-4fad-8f87-3497758e7963","2021-05-27T21:09:11.692Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",18.5,NA,NA,NA,"8: Younger immature","2 (25-50% healthy)",NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,"Chlorotic needles and crown thinning","Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"557","d3786145-02d1-4882-acea-33a0d17cc71b","2021-05-27T21:07:38.578Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Snag (Dead) (45-90%) ",8.1,NA,NA,NA,"8: Younger immature","1 (0-25% healthy)",NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
